Student ID,Grade,Feedback
2020400231,100.0,"""case1: Passed."; "case2: Passed."""
2020400255,10.0,"""case1: Expected: (48; 59)\n  Actual: (23; 6)"; "case2: Expected: (48; 59)\n  Actual: (23; 6)"""
2016400396,10.0,"""case1: Runtime Error: input.txt (No such file or directory)."; "case2: Runtime Error: input.txt (No such file or directory)."""
2020400168,100.0,"""case1: Passed."; "case2: Passed."""
2020400258,100.0,"""case1: Passed."; "case2: Passed."""
2021400069,100.0,"""case1: Passed."; "case2: Passed."""
2022400330,10.0,"""case1: Runtime Error: Cannot invoke \"Holder.getNextHolder()\" because \"<local2>\" is null."; "case2: Runtime Error: Cannot invoke \"Holder.getNextHolder()\" because \"<local2>\" is null."""
2020400042,10.0,"""case1: Output file has 0 lines; expected 7837 lines."; "case2: Output file has 0 lines; expected 7837 lines."""
2020400051,100.0,"""case1: Passed."; "case2: Passed."""
2021400111,100.0,"""case1: Passed."; "case2: Passed."""
2022690600,10.0,"""case1: Output file has 0 lines; expected 7837 lines."; "case2: Output file has 0 lines; expected 7837 lines."""
2020400126,10.0,"""case1: Timed out after 4 seconds."; "case2: Timed out after 4 seconds."""
2020400195,100.0,"""case1: Passed."; "case2: Passed."""
2020400159,0,Incomplete or invalid submission. Please check your submission file and the submission instructions for more details. 
2020400171,100.0,"""case1: Passed."; "case2: Passed."""
2022400360,0,Incomplete or invalid submission. Please check your submission file and the submission instructions for more details. 
2020400114,100.0,"""case1: Passed."; "case2: Passed."""
2022400327,100.0,"""case1: Passed."; "case2: Passed."""
2020400210,100.0,"""case1: Passed."; "case2: Passed."""
2020400201,100.0,"""case1: Passed."; "case2: Passed."""
2020400093,100.0,"""case1: Passed."; "case2: Passed."""
2021400183,100.0,"""case1: Passed."; "case2: Passed."""
202140024,100.0,"""case1: Passed."; "case2: Passed."""
2020400072,100.0,"""case1: Passed."; "case2: Passed."""
2021700189,10.0,"""case1: Output file has 7839 lines; expected 7837 lines."; "case2: Output file has 7839 lines; expected 7837 lines."""
2020400003,100.0,"""case1: Passed."; "case2: Passed."""
2020400000,100.0,"""case1: Passed."; "case2: Passed."""
2021400309,100.0,"""case1: Passed."; "case2: Passed."""
2020400165,100.0,"""case1: Passed."; "case2: Passed."""
2019402039,0,Incomplete or invalid submission. Please check your submission file and the submission instructions for more details. 
INVALID,0,Incomplete or invalid submission. Please check your submission file and the submission instructions for more details. 
2021400042,10.0,"""case1: Output file decoding error."; "case2: Output file decoding error."""
2021400306,10.0,"""case1: Output file has 342 lines; expected 7837 lines."; "case2: Output file has 342 lines; expected 7837 lines."""
2020400252,100.0,"""case1: Passed."; "case2: Passed."""
2020400234,10.0,"""case1: Expected: {(18; 25);(75; 91)}\n  Actual: {(55; 46);(18; 25);(75; 91)}"; "case2: Expected: {(18; 25);(75; 91)}\n  Actual: {(55; 46);(18; 25);(75; 91)}"""
2019401180,100.0,"""case1: Passed."; "case2: Passed."""
2020400243,10.0,"""case1: Expected: Product not found.\n  Actual: Product not found"; "case2: Expected: Product not found.\n  Actual: Product not found"""
2020400123,100.0,"""case1: Passed."; "case2: Passed."""
2021400297,10.0,"""case1: Expected: 0\n  Actual: 1"; "case2: Expected: 0\n  Actual: 1"""
2020400381,100.0,"""case1: Passed."; "case2: Passed."""
2020400213,0,Incomplete or invalid submission. Please check your submission file and the submission instructions for more details. 
2019400165,10.0,"""case1: Timed out after 4 seconds."; "case2: Timed out after 4 seconds."""
INVALID,0,Incomplete or invalid submission. Please check your submission file and the submission instructions for more details. 
2020400189,10.0,"""case1: Expected: Product not found.\n  Actual: (60; 72)"; "case2: Expected: Product not found.\n  Actual: (60; 72)"""
2020400036,10.0,"""case1: Timed out after 4 seconds."; "case2: Timed out after 4 seconds."""
2021400330,10.0,"""case1: Expected: {(71; 29);(50; 19);(99; 44);(45; 49)}\n  Actual: {(71; 29);(99; 44);(50; 19);(45; 49)}"; "case2: Expected: {(71; 29);(50; 19);(99; 44);(45; 49)}\n  Actual: {(71; 29);(99; 44);(50; 19);(45; 49)}"""
2020400348,100.0,"""case1: Passed."; "case2: Passed."""
2020400372,100.0,"""case1: Passed."; "case2: Passed."""
